id,will_explode
810,0
453,0
1342,0
1884,0
1195,0
1725,0
759,0
1748,0
1892,0
1735,0
503,0
486,0
2096,0
1173,0
1512,0
2409,0
1283,0
569,0
1664,0
1988,0
2193,0
713,0
1602,0
611,0
172,0
1110,0
926,0
618,0
1646,0
145,0
1289,0
1067,0
1066,0
399,0
367,0
208,0
2468,0
835,0
1990,0
2378,0
2366,0
1380,0
2232,0
511,0
1896,0
2041,0
1345,0
1594,0
1502,0
2083,0
439,0
1969,0
451,0
1792,0
2401,0
28,0
2391,0
607,0
2025,0
76,0
1207,0
1334,0
1860,0
2326,0
373,0
280,0
75,0
1987,0
261,0
489,0
970,0
1819,0
579,0
940,0
53,0
344,0
300,0
1322,0
162,0
1299,0
2171,0
937,0
1309,0
794,0
160,0
516,0
1270,0
1031,0
2291,0
2337,0
921,0
881,0
1383,0
2390,0
221,0
414,0
2481,0
1534,0
1634,0
855,0
29,0
284,0
1836,0
575,0
1943,0
817,0
59,0
845,0
1072,0
1717,0
1423,0
371,0
1234,0
1125,0
1099,0
2123,0
462,0
2412,0
1188,0
1861,0
1295,0
923,0
1194,0
339,0
1866,0
1490,0
1769,0
2486,0
1164,0
1116,0
1730,0
2494,0
853,0
882,0
2,0
631,0
1738,0
2445,0
2375,0
624,0
302,0
1210,0
2140,0
1859,0
2106,0
1698,0
303,0
1068,0
2346,0
2345,0
1341,0
2270,0
977,0
1907,0
1721,0
770,0
20,0
1258,0
706,0
310,0
332,0
2149,0
1161,0
1956,0
2322,0
2019,0
2085,0
1149,0
2331,0
1876,0
1942,0
215,0
2119,0
376,0
918,0
2300,0
1539,0
1362,0
806,0
2495,0
1215,0
1437,0
1513,0
746,0
1586,0
285,0
1405,0
2367,0
670,0
699,0
967,0
2128,0
1430,0
490,0
2109,0
1693,0
1570,0
421,0
556,0
875,0
1555,0
673,0
43,0
2459,0
2356,0
1166,0
98,0
122,0
1772,0
2116,0
808,0
7,0
1822,0
2097,0
2353,0
2090,0
1576,0
157,0
1316,0
425,0
2063,0
1627,0
2071,0
775,0
1766,0
788,0
1775,0
2424,0
945,0
158,0
1654,0
1795,0
2017,0
812,0
1481,0
609,0
1060,0
2354,0
1224,0
1089,0
1514,0
1847,0
2472,0
2330,0
596,0
1562,0
864,0
771,0
801,0
692,0
2255,0
1783,0
1788,0
1219,0
1611,0
789,0
180,0
2455,0
1228,0
2388,0
2320,0
233,0
653,0
1810,0
2394,0
1887,0
173,0
2022,0
2256,0
765,0
1257,0
257,0
1642,0
82,0
1163,0
311,0
532,0
2046,0
1415,0
35,0
913,0
540,0
655,0
1985,0
777,0
856,0
171,0
360,0
1076,0
726,0
15,0
1998,0
717,0
1678,0
2217,0
2067,0
1006,0
329,0
861,0
2126,0
2168,0
126,0
1001,0
206,0
1850,0
1281,0
901,0
1957,0
1433,0
1791,0
2078,0
1932,0
1718,0
1355,0
2411,0
956,0
1212,0
2240,0
2027,0
46,0
1002,0
1186,0
848,0
1741,0
218,0
839,0
2439,0
2198,0
968,0
1673,0
1833,0
576,0
1906,0
1487,0
821,0
1124,0
308,0
942,0
2012,0
1276,0
2014,0
1121,0
386,0
716,0
1042,0
1176,0
691,0
1973,0
2384,0
600,0
2309,0
710,0
1547,0
222,0
2048,0
1567,0
2061,0
1517,0
272,0
1821,0
656,0
458,0
202,0
1935,0
1592,0
1640,0
1407,0
411,0
342,0
594,0
959,0
1868,0
680,0
988,0
2080,0
2462,0
2329,0
615,0
1346,0
1660,0
2074,0
139,0
307,0
1387,0
1785,0
974,0
380,0
57,0
1022,0
868,0
1624,0
2049,0
1711,0
2033,0
1979,0
2044,0
1824,0
616,0
322,0
340,0
2159,0
1397,0
1360,0
760,0
2247,0
412,0
437,0
370,0
1801,0
1376,0
707,0
505,0
1290,0
1650,0
2223,0
582,0
271,0
1848,0
164,0
2100,0
1849,0
1767,0
1877,0
644,0
590,0
1044,0
635,0
1940,0
1747,0
402,0
941,0
1,0
240,0
557,0
447,0
599,0
2484,0
266,0
2458,0
498,0
1317,0
535,0
1240,0
2429,0
127,0
1582,0
175,0
1256,0
621,0
1929,0
334,0
1807,0
1332,0
840,0
1494,0
1004,0
324,0
2287,0
1272,0
2239,0
1175,0
95,0
1157,0
2485,0
2402,0
826,0
118,0
1870,0
866,0
2264,0
1169,0
1410,0
819,0
1123,0
769,0
2016,0
2362,0
1609,0
1363,0
1266,0
561,0
32,0
1155,0
1966,0
2385,0
995,0
1040,0
908,0
628,0
1285,0
914,0
1939,0
2393,0
419,0
1891,0
513,0
743,0
552,0
1251,0
642,0
